CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,25/04/2020,151.0,5669.0,702.0,27.0,253.0
AR,25/04/2020,52.0,2353.0,257.0,15.0,131.0
AS,25/04/2020,12.0,1732.0,131.0,8.0,22.0
CB,25/04/2020,20.0,971.0,78.0,4.0,108.0
CE,25/04/2020,0.0,10.0,4.0,0.0,11.0
CL,25/04/2020,277.0,7490.0,507.0,28.0,117.0
CM,25/04/2020,170.0,8316.0,554.0,47.0,170.0
CN,25/04/2020,21.0,873.0,170.0,3.0,24.0
CT,25/04/2020,756.0,23980.0,2555.0,92.0,515.0
EX,25/04/2020,5.0,1419.0,107.0,5.0,144.0
GA,25/04/2020,170.0,2701.0,90.0,6.0,54.0
IB,25/04/2020,22.0,1044.0,165.0,5.0,27.0
MC,25/04/2020,3.0,623.0,105.0,1.0,46.0
MD,25/04/2020,496.0,6553.0,923.0,85.0,668.0
ML,25/04/2020,1.0,44.0,3.0,0.0,12.0
NC,25/04/2020,36.0,1921.0,129.0,14.0,158.0
PV,25/04/2020,148.0,6313.0,521.0,22.0,343.0
RI,25/04/2020,35.0,1345.0,82.0,4.0,35.0
VC,25/04/2020,102.0,4940.0,649.0,23.0,267.0
AN,26/04/2020,147.0,5670.0,698.0,22.0,245.0
AR,26/04/2020,52.0,2353.0,258.0,14.0,123.0
AS,26/04/2020,11.0,1732.0,131.0,8.0,8.0
CB,26/04/2020,20.0,971.0,77.0,6.0,108.0
CE,26/04/2020,1.0,10.0,4.0,0.0,11.0
CL,26/04/2020,276.0,7490.0,507.0,28.0,116.0
CM,26/04/2020,181.0,8304.0,553.0,50.0,157.0
CN,26/04/2020,21.0,873.0,170.0,3.0,23.0
CT,26/04/2020,724.0,23964.0,2554.0,95.0,480.0
EX,26/04/2020,4.0,1419.0,107.0,5.0,144.0
GA,26/04/2020,170.0,2701.0,90.0,6.0,43.0
IB,26/04/2020,21.0,1044.0,165.0,4.0,26.0
MC,26/04/2020,3.0,623.0,104.0,2.0,32.0
MD,26/04/2020,437.0,6553.0,923.0,85.0,663.0
ML,26/04/2020,2.0,44.0,3.0,0.0,12.0
NC,26/04/2020,36.0,1921.0,129.0,14.0,158.0
PV,26/04/2020,147.0,6311.0,521.0,22.0,323.0
RI,26/04/2020,36.0,1345.0,82.0,4.0,34.0
VC,26/04/2020,102.0,4941.0,648.0,27.0,237.0
AN,27/04/2020,139.0,5602.0,706.0,20.0,243.0
AR,27/04/2020,44.0,2322.0,253.0,15.0,97.0
AS,27/04/2020,9.0,1691.0,129.0,7.0,22.0
CB,27/04/2020,19.0,965.0,78.0,7.0,90.0
CE,27/04/2020,1.0,10.0,4.0,0.0,7.0
CL,27/04/2020,263.0,7351.0,505.0,29.0,112.0
CM,27/04/2020,191.0,8019.0,545.0,50.0,121.0
CN,27/04/2020,28.0,860.0,168.0,4.0,50.0
CT,27/04/2020,1271.0,23499.0,2510.0,114.0,574.0
EX,27/04/2020,8.0,1372.0,105.0,9.0,138.0
GA,27/04/2020,173.0,2688.0,94.0,7.0,50.0
IB,27/04/2020,25.0,1022.0,164.0,4.0,12.0
MC,27/04/2020,4.0,620.0,104.0,2.0,34.0
MD,27/04/2020,707.0,7014.0,968.0,96.0,650.0
ML,27/04/2020,2.0,44.0,3.0,0.0,9.0
NC,27/04/2020,31.0,1900.0,128.0,12.0,133.0
PV,27/04/2020,110.0,6248.0,515.0,29.0,319.0
RI,27/04/2020,41.0,1326.0,82.0,9.0,34.0
VC,27/04/2020,81.0,4914.0,650.0,18.0,190.0
AN,28/04/2020,144.0,5592.0,699.0,26.0,234.0
AR,28/04/2020,46.0,2322.0,249.0,17.0,118.0
AS,28/04/2020,9.0,1691.0,129.0,7.0,23.0
CB,28/04/2020,19.0,965.0,78.0,10.0,90.0
CE,28/04/2020,4.0,9.0,4.0,0.0,7.0
CL,28/04/2020,268.0,7351.0,504.0,29.0,123.0
CM,28/04/2020,205.0,7653.0,540.0,51.0,157.0
CN,28/04/2020,50.0,858.0,168.0,4.0,50.0
CT,28/04/2020,1270.0,23499.0,2509.0,143.0,607.0
EX,28/04/2020,8.0,1375.0,105.0,8.0,137.0
GA,28/04/2020,184.0,2679.0,94.0,7.0,51.0
IB,28/04/2020,28.0,1022.0,164.0,4.0,25.0
MC,28/04/2020,7.0,613.0,104.0,2.0,23.0
MD,28/04/2020,775.0,7031.0,969.0,96.0,667.0
ML,28/04/2020,2.0,44.0,3.0,0.0,8.0
NC,28/04/2020,31.0,1900.0,125.0,13.0,133.0
PV,28/04/2020,127.0,6248.0,513.0,33.0,429.0
RI,28/04/2020,42.0,1326.0,81.0,7.0,37.0
VC,28/04/2020,91.0,4914.0,650.0,20.0,240.0
AN,29/04/2020,151.0,5641.0,701.0,29.0,252.0
AR,29/04/2020,56.0,2341.0,251.0,22.0,123.0
AS,29/04/2020,8.0,1717.0,130.0,8.0,25.0
CB,29/04/2020,18.0,971.0,78.0,9.0,108.0
CE,29/04/2020,4.0,9.0,4.0,0.0,8.0
CL,29/04/2020,293.0,7429.0,506.0,29.0,140.0
CM,29/04/2020,194.0,7916.0,545.0,50.0,201.0
CN,29/04/2020,47.0,861.0,169.0,4.0,48.0
CT,29/04/2020,962.0,23776.0,2521.0,145.0,497.0
EX,29/04/2020,9.0,1398.0,106.0,6.0,151.0
GA,29/04/2020,183.0,2691.0,91.0,7.0,54.0
IB,29/04/2020,25.0,1032.0,166.0,4.0,33.0
MC,29/04/2020,6.0,615.0,104.0,1.0,18.0
MD,29/04/2020,705.0,6872.0,962.0,94.0,673.0
ML,29/04/2020,2.0,44.0,3.0,0.0,9.0
NC,29/04/2020,33.0,1914.0,125.0,12.0,141.0
PV,29/04/2020,148.0,6293.0,517.0,35.0,434.0
RI,29/04/2020,41.0,1339.0,82.0,5.0,38.0
VC,29/04/2020,93.0,4931.0,651.0,23.0,335.0
AN,30/04/2020,147.0,5657.0,705.0,28.0,224.0
AR,30/04/2020,53.0,2348.0,249.0,16.0,119.0
AS,30/04/2020,8.0,1725.0,130.0,8.0,24.0
CB,30/04/2020,23.0,976.0,78.0,9.0,95.0
CE,30/04/2020,4.0,9.0,4.0,0.0,10.0
CL,30/04/2020,269.0,7458.0,507.0,29.0,140.0
CM,30/04/2020,214.0,7943.0,547.0,54.0,173.0
CN,30/04/2020,47.0,865.0,169.0,4.0,42.0
CT,30/04/2020,752.0,23924.0,2544.0,120.0,627.0
EX,30/04/2020,8.0,1409.0,106.0,5.0,139.0
GA,30/04/2020,176.0,2696.0,90.0,7.0,54.0
IB,30/04/2020,24.0,1038.0,166.0,3.0,31.0
MC,30/04/2020,6.0,616.0,104.0,1.0,34.0
MD,30/04/2020,615.0,6744.0,951.0,88.0,648.0
ML,30/04/2020,2.0,44.0,3.0,0.0,10.0
NC,30/04/2020,28.0,1916.0,125.0,15.0,140.0
PV,30/04/2020,146.0,6308.0,517.0,25.0,384.0
RI,30/04/2020,40.0,1343.0,82.0,4.0,36.0
VC,30/04/2020,92.0,4939.0,651.0,25.0,334.0
AN,01/05/2020,285.0,4646.0,516.0,30.0,190.0
AR,01/05/2020,106.0,2025.0,233.0,19.0,94.0
AS,01/05/2020,32.0,1334.0,112.0,4.0,27.0
CB,01/05/2020,44.0,827.0,67.0,4.0,62.0
CE,01/05/2020,5.0,8.0,3.0,0.0,6.0
CL,01/05/2020,305.0,6361.0,477.0,48.0,173.0
CM,01/05/2020,399.0,4860.0,470.0,60.0,177.0
CN,01/05/2020,50.0,751.0,153.0,4.0,31.0
CT,01/05/2020,1408.0,19919.0,2165.0,131.0,583.0
EX,01/05/2020,78.0,951.0,81.0,17.0,93.0
GA,01/05/2020,251.0,2170.0,116.0,12.0,67.0
IB,01/05/2020,50.0,868.0,141.0,10.0,86.0
MC,01/05/2020,30.0,532.0,90.0,5.0,35.0
MD,01/05/2020,1242.0,9638.0,1162.0,186.0,966.0
ML,01/05/2020,3.0,39.0,3.0,0.0,5.0
NC,01/05/2020,66.0,1609.0,118.0,15.0,90.0
PV,01/05/2020,343.0,5262.0,444.0,30.0,339.0
RI,01/05/2020,94.0,1025.0,72.0,10.0,52.0
VC,01/05/2020,181.0,4430.0,582.0,43.0,254.0
