CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,23/04/2020,142.0,5558.0,694.0,32.0,260.0
AR,23/04/2020,75.0,2307.0,254.0,22.0,186.0
AS,23/04/2020,11.0,1666.0,128.0,10.0,24.0
CB,23/04/2020,12.0,954.0,78.0,4.0,113.0
CE,23/04/2020,2.0,9.0,4.0,0.0,2.0
CL,23/04/2020,337.0,7252.0,498.0,30.0,174.0
CM,23/04/2020,104.0,8211.0,539.0,55.0,222.0
CN,23/04/2020,17.0,845.0,166.0,1.0,23.0
CT,23/04/2020,899.0,23252.0,2451.0,95.0,427.0
EX,23/04/2020,17.0,1349.0,107.0,5.0,157.0
GA,23/04/2020,165.0,2662.0,98.0,9.0,53.0
IB,23/04/2020,22.0,1010.0,165.0,6.0,30.0
MC,23/04/2020,8.0,619.0,103.0,1.0,23.0
MD,23/04/2020,699.0,7354.0,1014.0,112.0,699.0
ML,23/04/2020,1.0,44.0,3.0,0.0,5.0
NC,23/04/2020,57.0,1889.0,128.0,8.0,118.0
PV,23/04/2020,135.0,6209.0,511.0,36.0,406.0
RI,23/04/2020,43.0,1315.0,81.0,5.0,42.0
VC,23/04/2020,76.0,4868.0,646.0,19.0,342.0
AN,24/04/2020,145.0,5527.0,688.0,31.0,245.0
AR,24/04/2020,68.0,2294.0,253.0,22.0,186.0
AS,24/04/2020,10.0,1649.0,127.0,10.0,23.0
CB,24/04/2020,9.0,949.0,78.0,4.0,112.0
CE,24/04/2020,2.0,9.0,4.0,0.0,2.0
CL,24/04/2020,259.0,7216.0,498.0,29.0,169.0
CM,24/04/2020,78.0,8183.0,537.0,55.0,200.0
CN,24/04/2020,18.0,842.0,166.0,1.0,18.0
CT,24/04/2020,837.0,22993.0,2437.0,87.0,419.0
EX,24/04/2020,18.0,1334.0,107.0,5.0,157.0
GA,24/04/2020,152.0,2646.0,99.0,9.0,50.0
IB,24/04/2020,21.0,997.0,164.0,6.0,31.0
MC,24/04/2020,8.0,618.0,103.0,1.0,26.0
MD,24/04/2020,657.0,7508.0,1020.0,111.0,709.0
ML,24/04/2020,1.0,44.0,3.0,0.0,9.0
NC,24/04/2020,58.0,1880.0,128.0,9.0,118.0
