CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,26/04/2020,97.0,5716.0,712.0,17.0,381.0
AR,26/04/2020,41.0,2379.0,258.0,7.0,62.0
AS,26/04/2020,6.0,1764.0,133.0,9.0,11.0
CB,26/04/2020,15.0,985.0,78.0,4.0,93.0
CE,26/04/2020,0.0,10.0,4.0,0.0,8.0
CL,26/04/2020,252.0,7582.0,511.0,27.0,151.0
CM,26/04/2020,133.0,8360.0,560.0,43.0,244.0
CN,26/04/2020,15.0,877.0,170.0,2.0,16.0
CT,26/04/2020,604.0,25009.0,2571.0,77.0,338.0
EX,26/04/2020,13.0,1460.0,107.0,6.0,101.0
GA,26/04/2020,99.0,2718.0,87.0,6.0,30.0
IB,26/04/2020,11.0,1056.0,166.0,2.0,22.0
MC,26/04/2020,5.0,626.0,106.0,2.0,62.0
MD,26/04/2020,317.0,6119.0,887.0,78.0,550.0
ML,26/04/2020,2.0,44.0,3.0,0.0,7.0
NC,26/04/2020,68.0,1932.0,129.0,5.0,119.0
PV,26/04/2020,114.0,6385.0,527.0,19.0,526.0
RI,26/04/2020,40.0,1366.0,83.0,4.0,37.0
VC,26/04/2020,103.0,4989.0,653.0,20.0,210.0
AN,27/04/2020,140.0,5639.0,706.0,31.0,286.0
AR,27/04/2020,49.0,2344.0,255.0,16.0,167.0
AS,27/04/2020,9.0,1705.0,130.0,8.0,28.0
CB,27/04/2020,17.0,967.0,77.0,6.0,86.0
CE,27/04/2020,0.0,10.0,4.0,0.0,8.0
CL,27/04/2020,243.0,7419.0,508.0,32.0,170.0
CM,27/04/2020,167.0,8138.0,548.0,50.0,143.0
CN,27/04/2020,19.0,863.0,167.0,4.0,43.0
CT,27/04/2020,816.0,24155.0,2522.0,132.0,695.0
EX,27/04/2020,8.0,1397.0,101.0,15.0,116.0
GA,27/04/2020,98.0,2693.0,92.0,7.0,48.0
IB,27/04/2020,24.0,1031.0,165.0,3.0,18.0
MC,27/04/2020,5.0,622.0,105.0,3.0,55.0
MD,27/04/2020,702.0,6959.0,947.0,90.0,726.0
ML,27/04/2020,2.0,44.0,3.0,0.0,8.0
NC,27/04/2020,52.0,1912.0,128.0,8.0,128.0
PV,27/04/2020,130.0,6277.0,520.0,25.0,460.0
RI,27/04/2020,44.0,1342.0,82.0,8.0,35.0
VC,27/04/2020,96.0,4928.0,646.0,22.0,269.0
AN,28/04/2020,141.0,5615.0,706.0,32.0,288.0
AR,28/04/2020,51.0,2344.0,255.0,16.0,173.0
AS,28/04/2020,10.0,1705.0,130.0,8.0,28.0
CB,28/04/2020,18.0,967.0,78.0,6.0,86.0
CE,28/04/2020,2.0,10.0,4.0,0.0,8.0
CL,28/04/2020,244.0,7419.0,508.0,31.0,171.0
CM,28/04/2020,168.0,8045.0,547.0,51.0,144.0
CN,28/04/2020,25.0,863.0,167.0,4.0,44.0
CT,28/04/2020,807.0,24155.0,2522.0,137.0,711.0
EX,28/04/2020,8.0,1409.0,106.0,9.0,116.0
GA,28/04/2020,101.0,2688.0,92.0,7.0,48.0
IB,28/04/2020,24.0,1031.0,165.0,3.0,21.0
MC,28/04/2020,7.0,620.0,104.0,2.0,54.0
MD,28/04/2020,690.0,6959.0,947.0,90.0,737.0
ML,28/04/2020,1.0,44.0,3.0,0.0,8.0
NC,28/04/2020,52.0,1912.0,127.0,8.0,128.0
PV,28/04/2020,142.0,6291.0,519.0,25.0,472.0
RI,28/04/2020,40.0,1344.0,82.0,5.0,37.0
VC,28/04/2020,103.0,4928.0,646.0,23.0,276.0
AN,29/04/2020,151.0,5610.0,700.0,34.0,318.0
AR,29/04/2020,51.0,2344.0,252.0,16.0,162.0
AS,29/04/2020,10.0,1705.0,130.0,8.0,29.0
CB,29/04/2020,18.0,967.0,78.0,7.0,87.0
CE,29/04/2020,4.0,9.0,4.0,0.0,9.0
CL,29/04/2020,245.0,7420.0,508.0,32.0,170.0
CM,29/04/2020,173.0,7729.0,548.0,49.0,228.0
CN,29/04/2020,40.0,862.0,167.0,5.0,52.0
CT,29/04/2020,770.0,24160.0,2522.0,128.0,583.0
EX,29/04/2020,9.0,1409.0,105.0,9.0,116.0
