CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,20/04/2020,139.0,5337.0,666.0,37.0,156.0
AR,20/04/2020,60.0,2160.0,258.0,31.0,32.0
AS,20/04/2020,28.0,1496.0,117.0,6.0,28.0
CB,20/04/2020,30.0,904.0,77.0,5.0,42.0
CE,20/04/2020,1.0,9.0,4.0,0.0,10.0
CL,20/04/2020,387.0,6781.0,457.0,33.0,151.0
CM,20/04/2020,231.0,7981.0,512.0,59.0,321.0
CN,20/04/2020,21.0,815.0,159.0,4.0,95.0
CT,20/04/2020,964.0,21535.0,2317.0,109.0,478.0
EX,20/04/2020,16.0,1241.0,106.0,15.0,68.0
GA,20/04/2020,105.0,2529.0,117.0,7.0,65.0
IB,20/04/2020,36.0,923.0,156.0,4.0,26.0
MC,20/04/2020,12.0,597.0,101.0,3.0,84.0
MD,20/04/2020,979.0,9021.0,1167.0,130.0,955.0
ML,20/04/2020,1.0,44.0,3.0,0.0,5.0
NC,20/04/2020,50.0,1818.0,126.0,16.0,69.0
PV,20/04/2020,155.0,5955.0,490.0,36.0,321.0
RI,20/04/2020,52.0,1240.0,78.0,9.0,54.0
VC,20/04/2020,127.0,4642.0,629.0,31.0,218.0
AN,21/04/2020,139.0,5337.0,666.0,44.0,164.0
AR,21/04/2020,60.0,2160.0,256.0,32.0,46.0
AS,21/04/2020,28.0,1496.0,117.0,6.0,28.0
CB,21/04/2020,33.0,904.0,77.0,5.0,50.0
CE,21/04/2020,1.0,9.0,4.0,0.0,10.0
CL,21/04/2020,386.0,6781.0,457.0,33.0,152.0
CM,21/04/2020,237.0,7981.0,512.0,58.0,264.0
CN,21/04/2020,21.0,815.0,159.0,4.0,61.0
CT,21/04/2020,1203.0,21535.0,2317.0,115.0,498.0
EX,21/04/2020,16.0,1241.0,106.0,15.0,63.0
GA,21/04/2020,106.0,2529.0,117.0,8.0,75.0
IB,21/04/2020,39.0,923.0,156.0,4.0,27.0
MC,21/04/2020,12.0,597.0,101.0,2.0,30.0
MD,21/04/2020,1006.0,9021.0,1167.0,130.0,966.0
ML,21/04/2020,1.0,44.0,3.0,0.0,5.0
NC,21/04/2020,50.0,1818.0,126.0,15.0,69.0
PV,21/04/2020,159.0,5955.0,490.0,44.0,376.0
RI,21/04/2020,52.0,1238.0,78.0,9.0,55.0
VC,21/04/2020,128.0,4642.0,629.0,32.0,216.0
AN,22/04/2020,144.0,5345.0,673.0,35.0,259.0
AR,22/04/2020,62.0,2166.0,258.0,32.0,50.0
AS,22/04/2020,28.0,1505.0,118.0,5.0,29.0
CB,22/04/2020,33.0,907.0,77.0,5.0,56.0
CE,22/04/2020,1.0,9.0,4.0,0.0,11.0
CL,22/04/2020,390.0,6791.0,457.0,33.0,159.0
CM,22/04/2020,239.0,7992.0,514.0,57.0,259.0
CN,22/04/2020,20.0,815.0,159.0,3.0,57.0
CT,22/04/2020,1258.0,21565.0,2324.0,125.0,451.0
EX,22/04/2020,12.0,1245.0,106.0,15.0,61.0
GA,22/04/2020,109.0,2535.0,116.0,9.0,78.0
IB,22/04/2020,40.0,925.0,156.0,5.0,28.0
MC,22/04/2020,11.0,598.0,101.0,2.0,19.0
MD,22/04/2020,976.0,8937.0,1157.0,127.0,975.0
ML,22/04/2020,0.0,44.0,3.0,0.0,5.0
NC,22/04/2020,55.0,1819.0,127.0,16.0,69.0
PV,22/04/2020,144.0,5977.0,491.0,47.0,376.0
RI,22/04/2020,53.0,1240.0,78.0,9.0,57.0
VC,22/04/2020,134.0,4651.0,633.0,29.0,232.0
AN,23/04/2020,142.0,5347.0,678.0,34.0,240.0
AR,23/04/2020,61.0,2171.0,255.0,30.0,50.0
AS,23/04/2020,26.0,1513.0,119.0,7.0,28.0
CB,23/04/2020,34.0,911.0,77.0,5.0,57.0
CE,23/04/2020,2.0,9.0,4.0,0.0,11.0
CL,23/04/2020,374.0,6811.0,474.0,32.0,161.0
CM,23/04/2020,241.0,8040.0,515.0,59.0,249.0
CN,23/04/2020,18.0,815.0,159.0,3.0,44.0
CT,23/04/2020,1256.0,21596.0,2327.0,97.0,454.0
EX,23/04/2020,10.0,1247.0,107.0,8.0,58.0
GA,23/04/2020,107.0,2543.0,115.0,9.0,78.0
IB,23/04/2020,41.0,925.0,157.0,7.0,28.0
MC,23/04/2020,10.0,599.0,101.0,2.0,30.0
MD,23/04/2020,864.0,8835.0,1148.0,126.0,981.0
ML,23/04/2020,1.0,44.0,3.0,0.0,5.0
NC,23/04/2020,53.0,1820.0,127.0,15.0,83.0
PV,23/04/2020,128.0,5988.0,492.0,42.0,353.0
RI,23/04/2020,43.0,1241.0,78.0,9.0,57.0
VC,23/04/2020,130.0,4680.0,635.0,27.0,225.0
AN,24/04/2020,129.0,5396.0,681.0,29.0,175.0
AR,24/04/2020,58.0,2198.0,248.0,34.0,29.0
AS,24/04/2020,18.0,1548.0,120.0,8.0,27.0
CB,24/04/2020,48.0,918.0,78.0,5.0,44.0
CE,24/04/2020,2.0,9.0,4.0,0.0,10.0
CL,24/04/2020,199.0,6919.0,484.0,31.0,149.0
CM,24/04/2020,167.0,8091.0,519.0,58.0,220.0
CN,24/04/2020,20.0,822.0,161.0,3.0,44.0
CT,24/04/2020,1282.0,21993.0,2366.0,80.0,429.0
EX,24/04/2020,12.0,1266.0,107.0,5.0,58.0
GA,24/04/2020,100.0,2564.0,112.0,10.0,43.0
IB,24/04/2020,43.0,942.0,159.0,8.0,25.0
MC,24/04/2020,5.0,608.0,102.0,2.0,44.0
MD,24/04/2020,687.0,8438.0,1116.0,118.0,909.0
ML,24/04/2020,0.0,44.0,3.0,0.0,6.0
NC,24/04/2020,35.0,1839.0,127.0,15.0,85.0
PV,24/04/2020,115.0,6048.0,495.0,32.0,361.0
RI,24/04/2020,39.0,1258.0,78.0,8.0,41.0
VC,24/04/2020,91.0,4746.0,639.0,28.0,216.0
AN,25/04/2020,140.0,5392.0,667.0,29.0,164.0
AR,25/04/2020,59.0,2197.0,244.0,20.0,36.0
AS,25/04/2020,17.0,1565.0,120.0,7.0,21.0
CB,25/04/2020,26.0,922.0,78.0,6.0,41.0
CE,25/04/2020,2.0,9.0,4.0,0.0,10.0
CL,25/04/2020,162.0,6964.0,480.0,31.0,142.0
CM,25/04/2020,125.0,7923.0,518.0,55.0,184.0
CN,25/04/2020,26.0,823.0,161.0,2.0,19.0
CT,25/04/2020,1048.0,22081.0,2381.0,84.0,374.0
EX,25/04/2020,13.0,1279.0,107.0,5.0,58.0
GA,25/04/2020,108.0,2568.0,111.0,10.0,33.0
IB,25/04/2020,18.0,941.0,159.0,6.0,27.0
MC,25/04/2020,7.0,603.0,101.0,1.0,28.0
MD,25/04/2020,444.0,8355.0,1119.0,115.0,856.0
ML,25/04/2020,1.0,44.0,3.0,0.0,6.0
NC,25/04/2020,46.0,1838.0,126.0,15.0,79.0
PV,25/04/2020,120.0,6064.0,491.0,34.0,340.0
RI,25/04/2020,43.0,1262.0,78.0,7.0,36.0
VC,25/04/2020,83.0,4773.0,641.0,22.0,188.0
AN,26/04/2020,123.0,5392.0,653.0,21.0,127.0
AR,26/04/2020,59.0,2201.0,241.0,17.0,10.0
AS,26/04/2020,13.0,1571.0,121.0,6.0,5.0
