CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
GA,20/04/2020,142.0,2433.0,127.0,11.0,70.0
IB,20/04/2020,34.0,841.0,149.0,6.0,30.0
MC,20/04/2020,15.0,557.0,95.0,3.0,25.0
MD,20/04/2020,1059.0,10105.0,1242.0,160.0,1143.0
ML,20/04/2020,1.0,43.0,3.0,0.0,5.0
NC,20/04/2020,106.0,1720.0,122.0,6.0,59.0
PV,20/04/2020,207.0,5761.0,466.0,48.0,316.0
RI,20/04/2020,57.0,1175.0,73.0,11.0,71.0
VC,20/04/2020,213.0,4438.0,607.0,34.0,309.0
AN,21/04/2020,192.0,5112.0,648.0,38.0,314.0
AR,21/04/2020,91.0,2037.0,278.0,27.0,59.0
AS,21/04/2020,52.0,1376.0,113.0,6.0,32.0
CB,21/04/2020,25.0,868.0,76.0,10.0,62.0
CE,21/04/2020,2.0,9.0,4.0,0.0,9.0
CL,21/04/2020,621.0,6291.0,308.0,38.0,223.0
CM,21/04/2020,445.0,7557.0,489.0,44.0,205.0
CN,21/04/2020,27.0,783.0,152.0,3.0,42.0
CT,21/04/2020,1154.0,20099.0,2199.0,229.0,777.0
EX,21/04/2020,30.0,1153.0,107.0,14.0,36.0
GA,21/04/2020,142.0,2433.0,127.0,11.0,70.0
IB,21/04/2020,34.0,841.0,149.0,6.0,30.0
MC,21/04/2020,15.0,557.0,95.0,3.0,25.0
MD,21/04/2020,1059.0,10105.0,1242.0,160.0,1143.0
ML,21/04/2020,1.0,43.0,3.0,0.0,5.0
NC,21/04/2020,106.0,1720.0,122.0,6.0,59.0
PV,21/04/2020,208.0,5761.0,466.0,48.0,316.0
RI,21/04/2020,57.0,1175.0,73.0,11.0,71.0
VC,21/04/2020,213.0,4438.0,607.0,34.0,309.0
AN,22/04/2020,188.0,5147.0,653.0,44.0,332.0
AR,22/04/2020,83.0,2056.0,283.0,28.0,66.0
AS,22/04/2020,51.0,1385.0,114.0,5.0,34.0
CB,22/04/2020,25.0,871.0,76.0,6.0,65.0
CE,22/04/2020,1.0,9.0,4.0,0.0,9.0
CL,22/04/2020,625.0,6319.0,309.0,37.0,221.0
CM,22/04/2020,444.0,7685.0,491.0,45.0,287.0
CN,22/04/2020,20.0,789.0,152.0,3.0,49.0
CT,22/04/2020,1029.0,20111.0,2214.0,185.0,612.0
EX,22/04/2020,27.0,1161.0,107.0,14.0,36.0
GA,22/04/2020,158.0,2435.0,126.0,11.0,82.0
IB,22/04/2020,33.0,848.0,150.0,6.0,32.0
MC,22/04/2020,14.0,560.0,95.0,2.0,14.0
MD,22/04/2020,1007.0,10070.0,1235.0,158.0,1108.0
ML,22/04/2020,1.0,43.0,3.0,0.0,4.0
NC,22/04/2020,106.0,1730.0,123.0,8.0,46.0
PV,22/04/2020,204.0,5796.0,470.0,52.0,338.0
RI,22/04/2020,71.0,1182.0,74.0,11.0,72.0
VC,22/04/2020,204.0,4444.0,609.0,32.0,323.0
