CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,16/04/2020,183.0,5136.0,649.0,43.0,343.0
AR,16/04/2020,83.0,2041.0,285.0,26.0,69.0
AS,16/04/2020,49.0,1370.0,113.0,5.0,33.0
CB,16/04/2020,24.0,867.0,76.0,6.0,67.0
CE,16/04/2020,2.0,9.0,4.0,0.0,9.0
CL,16/04/2020,624.0,6321.0,309.0,37.0,224.0
CM,16/04/2020,440.0,7703.0,490.0,46.0,298.0
CN,16/04/2020,18.0,787.0,152.0,2.0,43.0
CT,16/04/2020,916.0,19926.0,2201.0,147.0,615.0
EX,16/04/2020,27.0,1150.0,107.0,13.0,31.0
GA,16/04/2020,156.0,2442.0,127.0,11.0,81.0
IB,16/04/2020,34.0,852.0,149.0,6.0,32.0
MC,16/04/2020,13.0,564.0,96.0,2.0,22.0
MD,16/04/2020,905.0,10314.0,1243.0,157.0,1107.0
ML,16/04/2020,1.0,43.0,3.0,0.0,3.0
NC,16/04/2020,116.0,1729.0,124.0,7.0,55.0
PV,16/04/2020,200.0,5788.0,472.0,46.0,229.0
RI,16/04/2020,68.0,1181.0,74.0,11.0,74.0
VC,16/04/2020,207.0,4418.0,608.0,31.0,321.0
AN,17/04/2020,181.0,5107.0,647.0,46.0,341.0
AR,17/04/2020,86.0,2032.0,284.0,22.0,71.0
AS,17/04/2020,54.0,1356.0,113.0,5.0,35.0
CB,17/04/2020,25.0,857.0,76.0,5.0,55.0
CE,17/04/2020,1.0,9.0,4.0,0.0,9.0
CL,17/04/2020,601.0,6304.0,309.0,38.0,224.0
CM,17/04/2020,418.0,7711.0,489.0,46.0,303.0
CN,17/04/2020,19.0,786.0,152.0,2.0,42.0
CT,17/04/2020,966.0,19848.0,2192.0,119.0,596.0
EX,17/04/2020,36.0,1145.0,107.0,14.0,41.0
GA,17/04/2020,158.0,2422.0,129.0,11.0,79.0
IB,17/04/2020,23.0,848.0,148.0,6.0,29.0
MC,17/04/2020,13.0,564.0,96.0,3.0,22.0
MD,17/04/2020,776.0,10381.0,1254.0,143.0,1095.0
ML,17/04/2020,2.0,43.0,3.0,0.0,3.0
NC,17/04/2020,106.0,1723.0,124.0,7.0,49.0
PV,17/04/2020,205.0,5759.0,470.0,38.0,147.0
RI,17/04/2020,84.0,1172.0,74.0,11.0,74.0
VC,17/04/2020,208.0,4396.0,608.0,29.0,278.0
AN,18/04/2020,192.0,5108.0,650.0,49.0,342.0
AR,18/04/2020,85.0,2035.0,284.0,22.0,64.0
AS,18/04/2020,59.0,1355.0,112.0,5.0,24.0
CB,18/04/2020,25.0,858.0,76.0,4.0,52.0
CE,18/04/2020,1.0,9.0,4.0,0.0,9.0
CL,18/04/2020,604.0,6281.0,310.0,38.0,231.0
CM,18/04/2020,370.0,7728.0,486.0,45.0,301.0
CN,18/04/2020,20.0,787.0,152.0,2.0,25.0
CT,18/04/2020,970.0,19876.0,2192.0,126.0,547.0
EX,18/04/2020,31.0,1138.0,107.0,13.0,30.0
GA,18/04/2020,157.0,2426.0,129.0,11.0,60.0
IB,18/04/2020,21.0,850.0,148.0,7.0,38.0
MC,18/04/2020,12.0,564.0,95.0,3.0,31.0
MD,18/04/2020,585.0,10304.0,1251.0,157.0,1042.0
ML,18/04/2020,2.0,43.0,3.0,0.0,3.0
NC,18/04/2020,122.0,1722.0,124.0,7.0,46.0
PV,18/04/2020,190.0,5746.0,470.0,38.0,165.0
RI,18/04/2020,79.0,1172.0,74.0,10.0,68.0
VC,18/04/2020,209.0,4386.0,608.0,29.0,281.0
AN,19/04/2020,148.0,5112.0,650.0,23.0,324.0
AR,19/04/2020,87.0,2039.0,284.0,16.0,24.0
AS,19/04/2020,44.0,1359.0,113.0,5.0,9.0
CB,19/04/2020,24.0,860.0,76.0,7.0,53.0
CE,19/04/2020,1.0,9.0,4.0,0.0,9.0
CL,19/04/2020,598.0,6284.0,309.0,39.0,171.0
CM,19/04/2020,384.0,7791.0,490.0,52.0,285.0
CN,19/04/2020,19.0,787.0,152.0,2.0,23.0
CT,19/04/2020,792.0,19907.0,2195.0,130.0,526.0
EX,19/04/2020,27.0,1141.0,107.0,13.0,30.0
GA,19/04/2020,156.0,2430.0,129.0,11.0,43.0
IB,19/04/2020,20.0,850.0,149.0,6.0,33.0
MC,19/04/2020,12.0,565.0,96.0,4.0,22.0
MD,19/04/2020,419.0,10272.0,1250.0,157.0,775.0
ML,19/04/2020,2.0,43.0,3.0,0.0,3.0
NC,19/04/2020,122.0,1723.0,124.0,7.0,47.0
PV,19/04/2020,179.0,5750.0,470.0,33.0,178.0
RI,19/04/2020,77.0,1174.0,74.0,7.0,50.0
VC,19/04/2020,199.0,4400.0,608.0,30.0,225.0
AN,20/04/2020,192.0,5112.0,648.0,38.0,314.0
AR,20/04/2020,90.0,2037.0,279.0,27.0,59.0
AS,20/04/2020,52.0,1376.0,113.0,6.0,32.0
CB,20/04/2020,25.0,868.0,76.0,10.0,62.0
CE,20/04/2020,2.0,9.0,4.0,0.0,9.0
CL,20/04/2020,621.0,6291.0,308.0,38.0,223.0
CM,20/04/2020,445.0,7555.0,489.0,44.0,205.0
CN,20/04/2020,26.0,783.0,152.0,3.0,43.0
CT,20/04/2020,1154.0,20099.0,2199.0,229.0,779.0
EX,20/04/2020,30.0,1153.0,107.0,14.0,36.0
