CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
RI,26/04/2020,43.0,1323.0,81.0,6.0,27.0
VC,26/04/2020,63.0,4886.0,648.0,21.0,190.0
AN,27/04/2020,149.0,5578.0,697.0,38.0,210.0
AR,27/04/2020,63.0,2324.0,251.0,20.0,204.0
AS,27/04/2020,9.0,1688.0,129.0,9.0,25.0
CB,27/04/2020,17.0,964.0,77.0,6.0,95.0
CE,27/04/2020,2.0,9.0,4.0,0.0,5.0
CL,27/04/2020,289.0,7361.0,492.0,32.0,173.0
CM,27/04/2020,193.0,7875.0,543.0,57.0,145.0
CN,27/04/2020,38.0,853.0,167.0,5.0,44.0
CT,27/04/2020,944.0,23557.0,2504.0,93.0,601.0
EX,27/04/2020,10.0,1355.0,100.0,12.0,143.0
GA,27/04/2020,159.0,2661.0,92.0,8.0,49.0
IB,27/04/2020,24.0,1021.0,166.0,4.0,25.0
MC,27/04/2020,9.0,617.0,103.0,3.0,38.0
MD,27/04/2020,676.0,7132.0,991.0,100.0,719.0
ML,27/04/2020,2.0,44.0,3.0,0.0,5.0
NC,27/04/2020,24.0,1893.0,127.0,9.0,112.0
PV,27/04/2020,143.0,6215.0,513.0,35.0,306.0
RI,27/04/2020,46.0,1326.0,81.0,9.0,35.0
VC,27/04/2020,72.0,4905.0,649.0,23.0,331.0
AN,28/04/2020,162.0,5570.0,685.0,42.0,211.0
AR,28/04/2020,63.0,2324.0,250.0,20.0,206.0
AS,28/04/2020,9.0,1688.0,129.0,9.0,25.0
CB,28/04/2020,18.0,964.0,77.0,8.0,96.0
CE,28/04/2020,6.0,9.0,4.0,0.0,5.0
CL,28/04/2020,298.0,7361.0,481.0,31.0,177.0
CM,28/04/2020,205.0,7604.0,541.0,61.0,142.0
CN,28/04/2020,49.0,853.0,167.0,5.0,45.0
CT,28/04/2020,951.0,23559.0,2504.0,106.0,605.0
EX,28/04/2020,11.0,1361.0,105.0,8.0,143.0
GA,28/04/2020,166.0,2651.0,92.0,8.0,50.0
IB,28/04/2020,25.0,1021.0,165.0,4.0,29.0
MC,28/04/2020,12.0,608.0,103.0,2.0,36.0
MD,28/04/2020,683.0,7132.0,991.0,100.0,731.0
ML,28/04/2020,2.0,44.0,3.0,0.0,5.0
NC,28/04/2020,25.0,1891.0,125.0,9.0,110.0
PV,28/04/2020,158.0,6206.0,512.0,35.0,421.0
RI,28/04/2020,45.0,1324.0,81.0,6.0,38.0
VC,28/04/2020,75.0,4905.0,649.0,25.0,335.0
AN,29/04/2020,163.0,5593.0,689.0,35.0,241.0
AR,29/04/2020,62.0,2332.0,251.0,23.0,156.0
AS,29/04/2020,8.0,1694.0,129.0,9.0,24.0
CB,29/04/2020,18.0,966.0,77.0,9.0,99.0
CE,29/04/2020,5.0,9.0,4.0,0.0,5.0
CL,29/04/2020,312.0,7381.0,484.0,30.0,174.0
CM,29/04/2020,199.0,7751.0,542.0,57.0,224.0
CN,29/04/2020,46.0,854.0,168.0,5.0,47.0
CT,29/04/2020,958.0,23639.0,2508.0,106.0,507.0
EX,29/04/2020,13.0,1374.0,106.0,6.0,152.0
GA,29/04/2020,166.0,2665.0,92.0,7.0,53.0
IB,29/04/2020,22.0,1024.0,165.0,4.0,33.0
MC,29/04/2020,10.0,608.0,103.0,1.0,18.0
MD,29/04/2020,675.0,7104.0,984.0,97.0,680.0
ML,29/04/2020,2.0,44.0,3.0,0.0,5.0
NC,29/04/2020,24.0,1896.0,125.0,10.0,112.0
PV,29/04/2020,145.0,6240.0,513.0,39.0,441.0
RI,29/04/2020,43.0,1326.0,81.0,5.0,39.0
VC,29/04/2020,69.0,4908.0,649.0,23.0,370.0
AN,30/04/2020,152.0,5617.0,692.0,32.0,170.0
AR,30/04/2020,53.0,2341.0,250.0,17.0,130.0
AS,30/04/2020,6.0,1706.0,130.0,9.0,23.0
CB,30/04/2020,29.0,970.0,78.0,9.0,81.0
CE,30/04/2020,6.0,9.0,4.0,0.0,6.0
CL,30/04/2020,262.0,7420.0,486.0,30.0,173.0
CM,30/04/2020,220.0,7775.0,544.0,63.0,205.0
CN,30/04/2020,49.0,858.0,168.0,5.0,46.0
CT,30/04/2020,866.0,23697.0,2524.0,93.0,616.0
EX,30/04/2020,14.0,1381.0,106.0,5.0,135.0
GA,30/04/2020,145.0,2668.0,91.0,7.0,54.0
IB,30/04/2020,19.0,1029.0,165.0,4.0,32.0
MC,30/04/2020,10.0,609.0,103.0,1.0,26.0
MD,30/04/2020,589.0,6990.0,977.0,94.0,635.0
ML,30/04/2020,2.0,44.0,3.0,0.0,5.0
NC,30/04/2020,21.0,1900.0,125.0,16.0,111.0
PV,30/04/2020,136.0,6256.0,513.0,29.0,333.0
RI,30/04/2020,43.0,1330.0,81.0,4.0,36.0
VC,30/04/2020,68.0,4915.0,650.0,23.0,372.0
