CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,24/04/2020,123.0,5638.0,707.0,29.0,172.0
AR,24/04/2020,48.0,2340.0,253.0,16.0,130.0
AS,24/04/2020,6.0,1703.0,130.0,9.0,23.0
CB,24/04/2020,29.0,968.0,78.0,5.0,81.0
CE,24/04/2020,0.0,10.0,4.0,0.0,6.0
CL,24/04/2020,246.0,7416.0,504.0,30.0,171.0
CM,24/04/2020,201.0,8307.0,548.0,63.0,208.0
CN,24/04/2020,25.0,858.0,168.0,5.0,46.0
CT,24/04/2020,798.0,23657.0,2523.0,67.0,617.0
EX,24/04/2020,13.0,1390.0,107.0,4.0,135.0
GA,24/04/2020,133.0,2688.0,91.0,7.0,53.0
IB,24/04/2020,17.0,1028.0,166.0,4.0,30.0
MC,24/04/2020,8.0,623.0,104.0,1.0,26.0
MD,24/04/2020,525.0,7006.0,978.0,93.0,621.0
ML,24/04/2020,1.0,44.0,3.0,0.0,5.0
NC,24/04/2020,20.0,1904.0,129.0,15.0,114.0
PV,24/04/2020,115.0,6271.0,515.0,29.0,332.0
RI,24/04/2020,43.0,1333.0,82.0,4.0,34.0
VC,24/04/2020,64.0,4913.0,650.0,21.0,385.0
AN,25/04/2020,117.0,5621.0,702.0,33.0,157.0
AR,25/04/2020,43.0,2323.0,254.0,16.0,124.0
AS,25/04/2020,7.0,1690.0,129.0,9.0,13.0
CB,25/04/2020,27.0,962.0,78.0,5.0,67.0
CE,25/04/2020,0.0,10.0,4.0,0.0,8.0
CL,25/04/2020,235.0,7370.0,504.0,31.0,140.0
CM,25/04/2020,188.0,8262.0,547.0,62.0,201.0
CN,25/04/2020,25.0,858.0,168.0,4.0,31.0
CT,25/04/2020,893.0,23506.0,2515.0,66.0,366.0
EX,25/04/2020,13.0,1379.0,107.0,4.0,132.0
GA,25/04/2020,131.0,2678.0,91.0,7.0,46.0
IB,25/04/2020,14.0,1020.0,165.0,5.0,25.0
MC,25/04/2020,6.0,621.0,104.0,1.0,28.0
MD,25/04/2020,350.0,7052.0,979.0,94.0,585.0
ML,25/04/2020,1.0,44.0,3.0,0.0,5.0
NC,25/04/2020,20.0,1895.0,129.0,13.0,115.0
PV,25/04/2020,102.0,6252.0,513.0,27.0,191.0
RI,25/04/2020,42.0,1322.0,81.0,6.0,30.0
VC,25/04/2020,64.0,4884.0,648.0,20.0,323.0
AN,26/04/2020,116.0,5614.0,702.0,21.0,148.0
AR,26/04/2020,44.0,2323.0,253.0,16.0,119.0
AS,26/04/2020,7.0,1691.0,129.0,8.0,5.0
CB,26/04/2020,25.0,963.0,78.0,6.0,67.0
CE,26/04/2020,0.0,10.0,4.0,0.0,10.0
CL,26/04/2020,216.0,7370.0,505.0,31.0,129.0
CM,26/04/2020,189.0,8246.0,547.0,64.0,202.0
CN,26/04/2020,26.0,858.0,168.0,4.0,31.0
CT,26/04/2020,892.0,23507.0,2516.0,66.0,361.0
EX,26/04/2020,12.0,1379.0,107.0,4.0,132.0
GA,26/04/2020,128.0,2678.0,91.0,7.0,28.0
IB,26/04/2020,13.0,1020.0,165.0,4.0,24.0
MC,26/04/2020,5.0,621.0,104.0,1.0,19.0
MD,26/04/2020,297.0,7052.0,979.0,94.0,555.0
ML,26/04/2020,1.0,44.0,3.0,0.0,5.0
NC,26/04/2020,20.0,1895.0,129.0,14.0,115.0
PV,26/04/2020,101.0,6254.0,513.0,25.0,201.0
