CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
CE,01/05/2020,4.0,8.0,4.0,0.0,6.0
CL,01/05/2020,403.0,6084.0,415.0,49.0,181.0
CM,01/05/2020,425.0,4694.0,468.0,61.0,190.0
CN,01/05/2020,46.0,725.0,148.0,3.0,28.0
CT,01/05/2020,1360.0,19511.0,2056.0,140.0,592.0
EX,01/05/2020,94.0,893.0,79.0,17.0,108.0
GA,01/05/2020,252.0,2133.0,121.0,12.0,70.0
IB,01/05/2020,43.0,834.0,137.0,10.0,74.0
MC,01/05/2020,27.0,517.0,87.0,5.0,47.0
MD,01/05/2020,907.0,12047.0,1337.0,185.0,975.0
ML,01/05/2020,3.0,39.0,3.0,0.0,8.0
NC,01/05/2020,88.0,1574.0,119.0,12.0,83.0
PV,01/05/2020,323.0,5216.0,442.0,30.0,398.0
RI,01/05/2020,92.0,1007.0,72.0,10.0,63.0
VC,01/05/2020,203.0,4401.0,559.0,41.0,230.0
AN,02/05/2020,273.0,4599.0,497.0,31.0,236.0
AR,02/05/2020,91.0,1955.0,239.0,17.0,75.0
AS,02/05/2020,36.0,1309.0,112.0,5.0,25.0
CB,02/05/2020,37.0,828.0,67.0,5.0,87.0
CE,02/05/2020,4.0,9.0,4.0,0.0,6.0
CL,02/05/2020,359.0,6123.0,418.0,49.0,183.0
CM,02/05/2020,362.0,4701.0,469.0,58.0,199.0
CN,02/05/2020,38.0,730.0,149.0,2.0,21.0
CT,02/05/2020,1244.0,19826.0,2077.0,122.0,411.0
EX,02/05/2020,49.0,901.0,80.0,14.0,91.0
GA,02/05/2020,243.0,2155.0,119.0,12.0,55.0
IB,02/05/2020,36.0,842.0,138.0,10.0,78.0
MC,02/05/2020,27.0,521.0,88.0,5.0,56.0
MD,02/05/2020,684.0,11919.0,1328.0,184.0,863.0
ML,02/05/2020,3.0,39.0,3.0,1.0,6.0
NC,02/05/2020,87.0,1586.0,121.0,10.0,75.0
PV,02/05/2020,292.0,5244.0,445.0,28.0,346.0
RI,02/05/2020,92.0,1017.0,73.0,9.0,64.0
VC,02/05/2020,187.0,4414.0,560.0,37.0,210.0
AN,03/05/2020,272.0,4600.0,497.0,24.0,200.0
AR,03/05/2020,91.0,1955.0,239.0,16.0,59.0
AS,03/05/2020,33.0,1310.0,112.0,4.0,8.0
CB,03/05/2020,38.0,829.0,67.0,6.0,88.0
CE,03/05/2020,4.0,9.0,4.0,0.0,6.0
CL,03/05/2020,323.0,6128.0,420.0,49.0,164.0
CM,03/05/2020,367.0,4702.0,470.0,60.0,190.0
CN,03/05/2020,38.0,730.0,149.0,2.0,22.0
CT,03/05/2020,1266.0,19857.0,2089.0,126.0,410.0
EX,03/05/2020,48.0,902.0,80.0,14.0,86.0
GA,03/05/2020,236.0,2155.0,119.0,12.0,33.0
IB,03/05/2020,34.0,843.0,138.0,10.0,77.0
MC,03/05/2020,27.0,521.0,88.0,5.0,41.0
MD,03/05/2020,646.0,12748.0,1433.0,184.0,781.0
ML,03/05/2020,3.0,39.0,3.0,1.0,6.0
NC,03/05/2020,72.0,1586.0,121.0,11.0,73.0
PV,03/05/2020,284.0,5245.0,446.0,26.0,286.0
RI,03/05/2020,92.0,1017.0,73.0,9.0,50.0
VC,03/05/2020,175.0,4415.0,560.0,36.0,139.0
