CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,04/05/2020,235.0,4740.0,535.0,32.0,156.0
AR,04/05/2020,73.0,1967.0,249.0,20.0,50.0
AS,04/05/2020,26.0,1341.0,112.0,5.0,28.0
CB,04/05/2020,32.0,813.0,67.0,5.0,35.0
CE,04/05/2020,3.0,10.0,4.0,1.0,4.0
CL,04/05/2020,366.0,6252.0,407.0,45.0,170.0
CM,04/05/2020,411.0,4908.0,473.0,55.0,286.0
CN,04/05/2020,56.0,750.0,149.0,4.0,57.0
CT,04/05/2020,1098.0,20708.0,2171.0,129.0,690.0
EX,04/05/2020,26.0,887.0,79.0,22.0,89.0
GA,04/05/2020,200.0,2193.0,114.0,10.0,68.0
IB,04/05/2020,30.0,845.0,140.0,3.0,28.0
MC,04/05/2020,18.0,528.0,90.0,8.0,87.0
MD,04/05/2020,1111.0,19508.0,1916.0,156.0,716.0
ML,04/05/2020,4.0,40.0,3.0,0.0,3.0
NC,04/05/2020,59.0,1596.0,124.0,10.0,71.0
PV,04/05/2020,252.0,5409.0,455.0,25.0,220.0
RI,04/05/2020,104.0,1066.0,75.0,15.0,39.0
VC,04/05/2020,156.0,4305.0,557.0,30.0,198.0
