CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,28/04/2020,70.0,5749.0,717.0,23.0,181.0
AR,28/04/2020,25.0,2398.0,258.0,16.0,69.0
AS,28/04/2020,9.0,1807.0,135.0,7.0,26.0
CB,28/04/2020,17.0,990.0,78.0,3.0,61.0
CE,28/04/2020,0.0,10.0,4.0,0.0,5.0
CL,28/04/2020,216.0,7687.0,510.0,23.0,99.0
CM,28/04/2020,138.0,8323.0,576.0,39.0,116.0
CN,28/04/2020,17.0,890.0,172.0,3.0,42.0
CT,28/04/2020,558.0,25763.0,2679.0,117.0,528.0
EX,28/04/2020,7.0,1486.0,107.0,9.0,82.0
GA,28/04/2020,85.0,2738.0,79.0,7.0,39.0
IB,28/04/2020,14.0,1062.0,165.0,3.0,31.0
MC,28/04/2020,5.0,624.0,105.0,2.0,77.0
MD,28/04/2020,646.0,34044.0,2801.0,72.0,365.0
ML,28/04/2020,3.0,44.0,3.0,0.0,5.0
NC,28/04/2020,27.0,1937.0,129.0,4.0,70.0
PV,28/04/2020,79.0,6425.0,534.0,19.0,394.0
RI,28/04/2020,22.0,1382.0,86.0,6.0,24.0
VC,28/04/2020,50.0,5009.0,651.0,14.0,157.0
AN,29/04/2020,78.0,5749.0,714.0,20.0,266.0
AR,29/04/2020,27.0,2398.0,258.0,16.0,72.0
AS,29/04/2020,8.0,1804.0,135.0,6.0,28.0
CB,29/04/2020,19.0,991.0,78.0,5.0,68.0
CE,29/04/2020,1.0,10.0,4.0,0.0,6.0
CL,29/04/2020,222.0,7681.0,507.0,23.0,114.0
CM,29/04/2020,146.0,8286.0,575.0,40.0,132.0
CN,29/04/2020,19.0,884.0,172.0,3.0,45.0
CT,29/04/2020,729.0,25692.0,2674.0,127.0,563.0
EX,29/04/2020,6.0,1482.0,107.0,9.0,83.0
GA,29/04/2020,90.0,2736.0,81.0,8.0,40.0
IB,29/04/2020,15.0,1063.0,165.0,3.0,32.0
MC,29/04/2020,6.0,622.0,105.0,2.0,69.0
MD,29/04/2020,634.0,33652.0,2767.0,73.0,385.0
ML,29/04/2020,3.0,44.0,3.0,0.0,5.0
NC,29/04/2020,28.0,1936.0,127.0,4.0,73.0
PV,29/04/2020,80.0,6421.0,533.0,20.0,400.0
RI,29/04/2020,25.0,1380.0,85.0,6.0,25.0
VC,29/04/2020,50.0,5012.0,654.0,13.0,190.0
AN,30/04/2020,79.0,5752.0,715.0,18.0,233.0
AR,30/04/2020,29.0,2398.0,254.0,11.0,70.0
AS,30/04/2020,6.0,1801.0,135.0,7.0,27.0
CB,30/04/2020,21.0,992.0,78.0,8.0,66.0
CE,30/04/2020,4.0,9.0,4.0,0.0,5.0
CL,30/04/2020,227.0,7676.0,501.0,23.0,109.0
CM,30/04/2020,169.0,8006.0,573.0,43.0,120.0
CN,30/04/2020,33.0,883.0,172.0,4.0,37.0
CT,30/04/2020,749.0,25634.0,2680.0,118.0,627.0
EX,30/04/2020,10.0,1476.0,106.0,6.0,82.0
GA,30/04/2020,88.0,2732.0,81.0,8.0,39.0
IB,30/04/2020,15.0,1062.0,165.0,3.0,30.0
MC,30/04/2020,4.0,621.0,105.0,1.0,74.0
MD,30/04/2020,507.0,31431.0,2646.0,70.0,376.0
ML,30/04/2020,3.0,44.0,3.0,0.0,5.0
NC,30/04/2020,27.0,1936.0,124.0,6.0,77.0
PV,30/04/2020,84.0,6423.0,533.0,17.0,388.0
RI,30/04/2020,22.0,1380.0,85.0,5.0,24.0
VC,30/04/2020,44.0,5015.0,655.0,13.0,190.0
AN,01/05/2020,275.0,4612.0,507.0,30.0,172.0
AR,01/05/2020,87.0,1948.0,229.0,16.0,76.0
AS,01/05/2020,36.0,1338.0,112.0,4.0,28.0
CB,01/05/2020,44.0,814.0,67.0,4.0,42.0
CE,01/05/2020,5.0,9.0,3.0,0.0,4.0
CL,01/05/2020,369.0,6130.0,409.0,48.0,203.0
CM,01/05/2020,543.0,4986.0,474.0,66.0,189.0
CN,01/05/2020,47.0,741.0,148.0,4.0,44.0
CT,01/05/2020,1331.0,20404.0,2156.0,128.0,602.0
EX,01/05/2020,104.0,891.0,79.0,18.0,85.0
GA,01/05/2020,226.0,2129.0,116.0,12.0,74.0
IB,01/05/2020,42.0,822.0,138.0,10.0,78.0
MC,01/05/2020,30.0,522.0,88.0,5.0,52.0
MD,01/05/2020,1161.0,19163.0,1890.0,170.0,809.0
ML,01/05/2020,3.0,39.0,3.0,0.0,4.0
NC,01/05/2020,68.0,1554.0,118.0,10.0,73.0
PV,01/05/2020,313.0,5284.0,445.0,25.0,350.0
RI,01/05/2020,99.0,1029.0,73.0,10.0,55.0
VC,01/05/2020,205.0,4301.0,553.0,36.0,238.0
AN,02/05/2020,271.0,4644.0,513.0,31.0,195.0
AR,02/05/2020,83.0,1964.0,230.0,14.0,70.0
AS,02/05/2020,35.0,1354.0,112.0,4.0,26.0
CB,02/05/2020,40.0,820.0,67.0,3.0,45.0
CE,02/05/2020,6.0,9.0,3.0,0.0,4.0
CL,02/05/2020,342.0,6207.0,409.0,47.0,214.0
CM,02/05/2020,458.0,4998.0,476.0,62.0,216.0
CN,02/05/2020,45.0,745.0,149.0,3.0,17.0
CT,02/05/2020,1227.0,20614.0,2171.0,116.0,508.0
EX,02/05/2020,61.0,898.0,80.0,15.0,79.0
GA,02/05/2020,217.0,2158.0,115.0,12.0,50.0
IB,02/05/2020,35.0,831.0,139.0,10.0,81.0
MC,02/05/2020,29.0,526.0,88.0,5.0,53.0
MD,02/05/2020,895.0,19073.0,1881.0,168.0,745.0
ML,02/05/2020,3.0,39.0,3.0,1.0,4.0
NC,02/05/2020,74.0,1566.0,121.0,8.0,70.0
PV,02/05/2020,303.0,5311.0,447.0,25.0,350.0
RI,02/05/2020,106.0,1037.0,74.0,9.0,54.0
VC,02/05/2020,190.0,4322.0,555.0,36.0,192.0
AN,03/05/2020,269.0,4687.0,524.0,24.0,177.0
AR,03/05/2020,81.0,1977.0,233.0,13.0,51.0
AS,03/05/2020,31.0,1364.0,113.0,4.0,10.0
CB,03/05/2020,40.0,822.0,68.0,5.0,53.0
CE,03/05/2020,6.0,9.0,4.0,0.0,4.0
CL,03/05/2020,334.0,6248.0,410.0,48.0,189.0
CM,03/05/2020,440.0,4985.0,476.0,65.0,224.0
CN,03/05/2020,40.0,749.0,149.0,3.0,18.0
CT,03/05/2020,1111.0,20720.0,2188.0,121.0,529.0
EX,03/05/2020,45.0,900.0,80.0,14.0,78.0
GA,03/05/2020,215.0,2183.0,115.0,13.0,42.0
IB,03/05/2020,30.0,841.0,140.0,9.0,81.0
MC,03/05/2020,29.0,528.0,89.0,6.0,53.0
MD,03/05/2020,838.0,19908.0,1952.0,163.0,682.0
ML,03/05/2020,4.0,39.0,3.0,1.0,4.0
NC,03/05/2020,70.0,1578.0,123.0,8.0,70.0
PV,03/05/2020,282.0,5351.0,450.0,24.0,264.0
RI,03/05/2020,105.0,1057.0,75.0,8.0,49.0
VC,03/05/2020,176.0,4330.0,556.0,34.0,173.0
