CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,19/04/2020,141.0,5372.0,680.0,23.0,143.0
AR,19/04/2020,62.0,2193.0,248.0,17.0,32.0
AS,19/04/2020,17.0,1535.0,119.0,9.0,8.0
CB,19/04/2020,25.0,912.0,78.0,6.0,61.0
CE,19/04/2020,1.0,9.0,4.0,0.0,6.0
CL,19/04/2020,143.0,6871.0,469.0,29.0,163.0
CM,19/04/2020,144.0,8067.0,513.0,58.0,147.0
CN,19/04/2020,17.0,821.0,160.0,4.0,15.0
CT,19/04/2020,764.0,21928.0,2362.0,80.0,415.0
EX,19/04/2020,15.0,1252.0,107.0,6.0,32.0
GA,19/04/2020,100.0,2564.0,114.0,12.0,34.0
IB,19/04/2020,24.0,940.0,158.0,8.0,30.0
MC,19/04/2020,7.0,605.0,101.0,2.0,35.0
MD,19/04/2020,433.0,8621.0,1127.0,116.0,775.0
ML,19/04/2020,2.0,44.0,3.0,0.0,9.0
NC,19/04/2020,51.0,1825.0,127.0,22.0,44.0
PV,19/04/2020,171.0,6033.0,494.0,34.0,324.0
RI,19/04/2020,52.0,1253.0,78.0,6.0,42.0
VC,19/04/2020,75.0,4729.0,639.0,30.0,221.0
AN,20/04/2020,144.0,5302.0,664.0,35.0,95.0
AR,20/04/2020,68.0,2162.0,249.0,32.0,34.0
AS,20/04/2020,28.0,1486.0,116.0,8.0,27.0
CB,20/04/2020,37.0,891.0,77.0,5.0,50.0
CE,20/04/2020,1.0,9.0,4.0,0.0,6.0
CL,20/04/2020,331.0,6669.0,438.0,31.0,174.0
CM,20/04/2020,386.0,7644.0,505.0,64.0,332.0
CN,20/04/2020,25.0,813.0,159.0,5.0,103.0
CT,20/04/2020,945.0,21465.0,2320.0,102.0,566.0
EX,20/04/2020,21.0,1226.0,106.0,12.0,56.0
GA,20/04/2020,102.0,2518.0,119.0,9.0,68.0
IB,20/04/2020,40.0,921.0,155.0,4.0,31.0
MC,20/04/2020,11.0,592.0,99.0,3.0,88.0
MD,20/04/2020,1121.0,9093.0,1165.0,136.0,1014.0
ML,20/04/2020,1.0,43.0,3.0,0.0,7.0
NC,20/04/2020,53.0,1797.0,126.0,34.0,39.0
PV,20/04/2020,216.0,5938.0,483.0,39.0,342.0
RI,20/04/2020,39.0,1221.0,77.0,9.0,62.0
VC,20/04/2020,88.0,4614.0,626.0,37.0,275.0
AN,21/04/2020,144.0,5302.0,664.0,36.0,111.0
AR,21/04/2020,69.0,2161.0,245.0,33.0,37.0
AS,21/04/2020,28.0,1486.0,116.0,8.0,27.0
CB,21/04/2020,40.0,891.0,77.0,5.0,55.0
CE,21/04/2020,1.0,9.0,4.0,0.0,6.0
CL,21/04/2020,331.0,6669.0,438.0,31.0,178.0
CM,21/04/2020,480.0,7630.0,504.0,62.0,211.0
CN,21/04/2020,25.0,813.0,159.0,5.0,77.0
CT,21/04/2020,1164.0,21465.0,2319.0,108.0,635.0
EX,21/04/2020,26.0,1226.0,106.0,12.0,50.0
GA,21/04/2020,102.0,2518.0,119.0,11.0,72.0
IB,21/04/2020,43.0,920.0,155.0,5.0,32.0
MC,21/04/2020,11.0,592.0,99.0,3.0,48.0
MD,21/04/2020,1218.0,9093.0,1165.0,137.0,1060.0
ML,21/04/2020,1.0,43.0,3.0,0.0,7.0
NC,21/04/2020,54.0,1797.0,126.0,34.0,40.0
PV,21/04/2020,225.0,5936.0,483.0,43.0,381.0
RI,21/04/2020,39.0,1221.0,77.0,8.0,64.0
VC,21/04/2020,90.0,4614.0,626.0,39.0,273.0
AN,22/04/2020,138.0,5316.0,666.0,28.0,127.0
AR,22/04/2020,71.0,2171.0,245.0,33.0,39.0
AS,22/04/2020,25.0,1502.0,116.0,8.0,26.0
CB,22/04/2020,40.0,898.0,77.0,5.0,59.0
CE,22/04/2020,1.0,9.0,4.0,0.0,6.0
CL,22/04/2020,318.0,6684.0,438.0,30.0,185.0
CM,22/04/2020,496.0,7651.0,508.0,61.0,199.0
CN,22/04/2020,28.0,814.0,159.0,5.0,74.0
CT,22/04/2020,1242.0,21531.0,2327.0,118.0,639.0
EX,22/04/2020,29.0,1229.0,106.0,12.0,48.0
GA,22/04/2020,108.0,2526.0,117.0,13.0,73.0
IB,22/04/2020,43.0,921.0,155.0,5.0,33.0
MC,22/04/2020,11.0,593.0,100.0,2.0,41.0
MD,22/04/2020,1228.0,8923.0,1148.0,135.0,1062.0
ML,22/04/2020,0.0,43.0,3.0,0.0,8.0
NC,22/04/2020,59.0,1799.0,126.0,34.0,38.0
PV,22/04/2020,225.0,5955.0,485.0,44.0,376.0
RI,22/04/2020,37.0,1225.0,77.0,7.0,71.0
VC,22/04/2020,78.0,4642.0,631.0,37.0,300.0
AN,23/04/2020,134.0,5337.0,676.0,27.0,161.0
AR,23/04/2020,69.0,2175.0,244.0,27.0,37.0
AS,23/04/2020,20.0,1516.0,118.0,8.0,25.0
CB,23/04/2020,42.0,906.0,78.0,5.0,64.0
CE,23/04/2020,1.0,9.0,4.0,0.0,6.0
CL,23/04/2020,312.0,6715.0,452.0,29.0,187.0
CM,23/04/2020,499.0,7851.0,509.0,60.0,205.0
CN,23/04/2020,20.0,816.0,160.0,4.0,52.0
CT,23/04/2020,1145.0,21606.0,2333.0,87.0,651.0
EX,23/04/2020,26.0,1234.0,107.0,8.0,44.0
GA,23/04/2020,102.0,2548.0,115.0,12.0,71.0
IB,23/04/2020,42.0,925.0,155.0,7.0,29.0
MC,23/04/2020,8.0,595.0,100.0,2.0,41.0
MD,23/04/2020,836.0,8819.0,1134.0,122.0,983.0
ML,23/04/2020,1.0,44.0,3.0,0.0,8.0
NC,23/04/2020,55.0,1806.0,127.0,35.0,51.0
PV,23/04/2020,191.0,5987.0,490.0,38.0,369.0
RI,23/04/2020,31.0,1235.0,77.0,7.0,66.0
VC,23/04/2020,70.0,4679.0,636.0,32.0,280.0
AN,24/04/2020,137.0,5348.0,669.0,27.0,161.0
AR,24/04/2020,68.0,2177.0,243.0,32.0,31.0
AS,24/04/2020,19.0,1526.0,119.0,10.0,26.0
CB,24/04/2020,54.0,910.0,78.0,6.0,58.0
CE,24/04/2020,2.0,9.0,4.0,0.0,7.0
CL,24/04/2020,225.0,6789.0,468.0,29.0,179.0
CM,24/04/2020,269.0,8002.0,508.0,58.0,208.0
CN,24/04/2020,22.0,819.0,159.0,4.0,48.0
CT,24/04/2020,1188.0,21826.0,2341.0,88.0,539.0
EX,24/04/2020,16.0,1246.0,107.0,6.0,36.0
GA,24/04/2020,99.0,2552.0,115.0,13.0,49.0
IB,24/04/2020,45.0,930.0,156.0,10.0,29.0
MC,24/04/2020,8.0,597.0,101.0,2.0,52.0
MD,24/04/2020,734.0,8699.0,1124.0,120.0,962.0
ML,24/04/2020,1.0,44.0,3.0,0.0,8.0
NC,24/04/2020,43.0,1817.0,126.0,26.0,52.0
PV,24/04/2020,175.0,6012.0,491.0,36.0,390.0
RI,24/04/2020,36.0,1248.0,78.0,8.0,53.0
VC,24/04/2020,81.0,4705.0,637.0,34.0,271.0
AN,25/04/2020,164.0,5254.0,635.0,30.0,156.0
AR,25/04/2020,71.0,2169.0,239.0,21.0,39.0
AS,25/04/2020,17.0,1534.0,118.0,10.0,22.0
CB,25/04/2020,25.0,909.0,77.0,8.0,61.0
CE,25/04/2020,5.0,8.0,4.0,0.0,6.0
CL,25/04/2020,147.0,6864.0,457.0,29.0,169.0
CM,25/04/2020,159.0,7645.0,506.0,54.0,148.0
CN,25/04/2020,44.0,816.0,158.0,4.0,15.0
CT,25/04/2020,838.0,21920.0,2355.0,116.0,441.0
EX,25/04/2020,19.0,1251.0,107.0,7.0,31.0
GA,25/04/2020,116.0,2520.0,115.0,12.0,37.0
IB,25/04/2020,27.0,920.0,157.0,8.0,32.0
MC,25/04/2020,13.0,583.0,98.0,2.0,38.0
MD,25/04/2020,551.0,8587.0,1127.0,117.0,927.0
ML,25/04/2020,2.0,44.0,3.0,0.0,8.0
NC,25/04/2020,52.0,1815.0,123.0,21.0,45.0
PV,25/04/2020,196.0,5992.0,486.0,38.0,366.0
RI,25/04/2020,46.0,1249.0,77.0,6.0,45.0
VC,25/04/2020,85.0,4728.0,639.0,30.0,252.0
