CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,18/04/2020,104.0,5277.0,668.0,36.0,179.0
AR,18/04/2020,73.0,2150.0,247.0,29.0,15.0
AS,18/04/2020,27.0,1474.0,117.0,10.0,23.0
CB,18/04/2020,79.0,895.0,78.0,4.0,36.0
CE,18/04/2020,1.0,9.0,4.0,0.0,7.0
CL,18/04/2020,457.0,6673.0,430.0,30.0,190.0
CM,18/04/2020,410.0,7937.0,506.0,58.0,237.0
CN,18/04/2020,26.0,814.0,159.0,4.0,36.0
CT,18/04/2020,1370.0,21510.0,2312.0,125.0,481.0
EX,18/04/2020,25.0,1220.0,107.0,10.0,31.0
GA,18/04/2020,99.0,2519.0,118.0,13.0,55.0
IB,18/04/2020,40.0,919.0,154.0,11.0,33.0
MC,18/04/2020,8.0,596.0,100.0,3.0,73.0
MD,18/04/2020,640.0,9016.0,1128.0,147.0,1015.0
ML,18/04/2020,1.0,44.0,3.0,0.0,1.0
NC,18/04/2020,46.0,1798.0,126.0,31.0,56.0
PV,18/04/2020,169.0,5936.0,484.0,32.0,311.0
RI,18/04/2020,37.0,1228.0,77.0,8.0,56.0
VC,18/04/2020,86.0,4622.0,631.0,37.0,279.0
AN,19/04/2020,101.0,5263.0,667.0,22.0,169.0
AR,19/04/2020,73.0,2149.0,247.0,24.0,9.0
AS,19/04/2020,26.0,1472.0,117.0,9.0,10.0
CB,19/04/2020,77.0,893.0,78.0,6.0,36.0
CE,19/04/2020,2.0,9.0,4.0,0.0,7.0
CL,19/04/2020,467.0,6676.0,429.0,30.0,174.0
CM,19/04/2020,421.0,7906.0,506.0,69.0,214.0
CN,19/04/2020,25.0,813.0,159.0,4.0,35.0
CT,19/04/2020,1209.0,21495.0,2313.0,126.0,426.0
EX,19/04/2020,22.0,1218.0,107.0,10.0,31.0
GA,19/04/2020,99.0,2517.0,119.0,12.0,41.0
IB,19/04/2020,39.0,920.0,154.0,11.0,28.0
MC,19/04/2020,8.0,596.0,100.0,4.0,66.0
MD,19/04/2020,425.0,9030.0,1128.0,145.0,773.0
ML,19/04/2020,2.0,44.0,3.0,0.0,1.0
NC,19/04/2020,47.0,1798.0,126.0,31.0,56.0
PV,19/04/2020,162.0,5926.0,484.0,29.0,300.0
RI,19/04/2020,38.0,1227.0,77.0,7.0,46.0
VC,19/04/2020,83.0,4621.0,631.0,38.0,233.0
AN,20/04/2020,161.0,5120.0,632.0,37.0,267.0
AR,20/04/2020,90.0,2130.0,237.0,33.0,42.0
AS,20/04/2020,36.0,1461.0,116.0,7.0,29.0
CB,20/04/2020,69.0,894.0,77.0,9.0,62.0
CE,20/04/2020,4.0,8.0,4.0,0.0,8.0
CL,20/04/2020,608.0,6560.0,414.0,32.0,202.0
CM,20/04/2020,634.0,7636.0,501.0,54.0,287.0
CN,20/04/2020,50.0,807.0,155.0,4.0,61.0
CT,20/04/2020,1397.0,21064.0,2274.0,187.0,597.0
EX,20/04/2020,26.0,1200.0,106.0,15.0,39.0
GA,20/04/2020,124.0,2482.0,119.0,13.0,74.0
IB,20/04/2020,49.0,877.0,152.0,8.0,36.0
MC,20/04/2020,18.0,566.0,94.0,2.0,50.0
MD,20/04/2020,1125.0,9261.0,1155.0,161.0,1099.0
ML,20/04/2020,2.0,43.0,3.0,0.0,2.0
NC,20/04/2020,62.0,1765.0,122.0,38.0,47.0
PV,20/04/2020,232.0,5876.0,466.0,51.0,375.0
RI,20/04/2020,37.0,1219.0,73.0,8.0,71.0
VC,20/04/2020,122.0,4580.0,627.0,40.0,319.0
AN,21/04/2020,161.0,5120.0,632.0,37.0,267.0
AR,21/04/2020,90.0,2130.0,237.0,33.0,42.0
AS,21/04/2020,36.0,1461.0,116.0,7.0,29.0
CB,21/04/2020,69.0,894.0,77.0,9.0,62.0
CE,21/04/2020,4.0,8.0,4.0,0.0,8.0
CL,21/04/2020,609.0,6560.0,414.0,32.0,202.0
CM,21/04/2020,634.0,7636.0,501.0,54.0,287.0
CN,21/04/2020,50.0,807.0,155.0,4.0,61.0
CT,21/04/2020,1397.0,21064.0,2274.0,187.0,596.0
EX,21/04/2020,26.0,1200.0,106.0,15.0,39.0
GA,21/04/2020,124.0,2482.0,119.0,13.0,74.0
IB,21/04/2020,49.0,877.0,152.0,8.0,36.0
MC,21/04/2020,18.0,566.0,94.0,2.0,50.0
MD,21/04/2020,1125.0,9261.0,1155.0,161.0,1102.0
ML,21/04/2020,2.0,43.0,3.0,0.0,2.0
NC,21/04/2020,62.0,1765.0,122.0,38.0,47.0
PV,21/04/2020,232.0,5876.0,466.0,51.0,375.0
RI,21/04/2020,37.0,1219.0,73.0,8.0,71.0
VC,21/04/2020,122.0,4580.0,627.0,40.0,319.0
AN,22/04/2020,146.0,5217.0,653.0,35.0,278.0
AR,22/04/2020,85.0,2136.0,246.0,33.0,42.0
AS,22/04/2020,34.0,1464.0,116.0,7.0,29.0
CB,22/04/2020,69.0,894.0,77.0,6.0,62.0
CE,22/04/2020,1.0,9.0,4.0,0.0,8.0
CL,22/04/2020,607.0,6585.0,414.0,32.0,200.0
CM,22/04/2020,633.0,7816.0,501.0,54.0,290.0
CN,22/04/2020,33.0,810.0,156.0,4.0,61.0
CT,22/04/2020,1385.0,21161.0,2289.0,174.0,605.0
EX,22/04/2020,25.0,1208.0,106.0,15.0,39.0
GA,22/04/2020,116.0,2497.0,119.0,13.0,74.0
IB,22/04/2020,48.0,891.0,153.0,8.0,35.0
MC,22/04/2020,14.0,579.0,97.0,2.0,49.0
MD,22/04/2020,1097.0,9244.0,1155.0,157.0,1083.0
ML,22/04/2020,1.0,43.0,3.0,0.0,2.0
NC,22/04/2020,58.0,1779.0,125.0,38.0,47.0
PV,22/04/2020,213.0,5889.0,478.0,51.0,376.0
RI,22/04/2020,36.0,1221.0,75.0,8.0,71.0
VC,22/04/2020,116.0,4584.0,628.0,39.0,320.0
AN,23/04/2020,108.0,5277.0,668.0,31.0,198.0
AR,23/04/2020,74.0,2148.0,246.0,30.0,32.0
AS,23/04/2020,27.0,1468.0,117.0,9.0,28.0
CB,23/04/2020,73.0,900.0,78.0,6.0,61.0
CE,23/04/2020,1.0,9.0,4.0,0.0,7.0
CL,23/04/2020,531.0,6601.0,426.0,30.0,198.0
CM,23/04/2020,693.0,8002.0,505.0,58.0,253.0
CN,23/04/2020,23.0,811.0,158.0,4.0,54.0
CT,23/04/2020,1366.0,21324.0,2301.0,134.0,672.0
EX,23/04/2020,32.0,1215.0,107.0,12.0,41.0
GA,23/04/2020,102.0,2516.0,118.0,12.0,72.0
IB,23/04/2020,46.0,907.0,153.0,9.0,26.0
MC,23/04/2020,9.0,591.0,100.0,2.0,61.0
MD,23/04/2020,850.0,9128.0,1148.0,135.0,1015.0
ML,23/04/2020,1.0,44.0,3.0,0.0,2.0
NC,23/04/2020,53.0,1789.0,126.0,40.0,57.0
PV,23/04/2020,188.0,5925.0,484.0,36.0,338.0
RI,23/04/2020,30.0,1228.0,76.0,8.0,69.0
VC,23/04/2020,86.0,4614.0,630.0,36.0,306.0
AN,24/04/2020,106.0,5259.0,666.0,32.0,175.0
AR,24/04/2020,73.0,2154.0,246.0,31.0,15.0
AS,24/04/2020,26.0,1478.0,118.0,10.0,30.0
CB,24/04/2020,80.0,902.0,78.0,6.0,38.0
CE,24/04/2020,3.0,9.0,4.0,0.0,7.0
CL,24/04/2020,435.0,6677.0,429.0,30.0,189.0
CM,24/04/2020,452.0,7837.0,504.0,58.0,244.0
CN,24/04/2020,32.0,814.0,157.0,4.0,54.0
CT,24/04/2020,1405.0,21579.0,2312.0,128.0,556.0
EX,24/04/2020,27.0,1220.0,107.0,10.0,37.0
