CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,22/04/2020,135.0,5488.0,686.0,27.0,166.0
AR,22/04/2020,67.0,2262.0,254.0,15.0,236.0
AS,22/04/2020,20.0,1619.0,125.0,8.0,27.0
CB,22/04/2020,42.0,943.0,78.0,4.0,57.0
CE,22/04/2020,1.0,9.0,4.0,0.0,3.0
CL,22/04/2020,223.0,7129.0,495.0,32.0,171.0
CM,22/04/2020,186.0,8091.0,529.0,65.0,129.0
CN,22/04/2020,13.0,834.0,163.0,1.0,70.0
CT,22/04/2020,960.0,22711.0,2421.0,133.0,642.0
EX,22/04/2020,6.0,1303.0,107.0,7.0,99.0
GA,22/04/2020,157.0,2629.0,100.0,10.0,43.0
IB,22/04/2020,24.0,986.0,162.0,4.0,15.0
MC,22/04/2020,10.0,613.0,103.0,3.0,54.0
MD,22/04/2020,679.0,7852.0,1065.0,120.0,789.0
ML,22/04/2020,0.0,44.0,3.0,0.0,3.0
NC,22/04/2020,50.0,1874.0,128.0,9.0,105.0
PV,22/04/2020,142.0,6130.0,506.0,25.0,352.0
RI,22/04/2020,24.0,1291.0,80.0,6.0,51.0
VC,22/04/2020,130.0,4838.0,643.0,19.0,275.0
AN,23/04/2020,129.0,5452.0,682.0,27.0,179.0
AR,23/04/2020,67.0,2243.0,254.0,15.0,235.0
AS,23/04/2020,21.0,1598.0,125.0,9.0,26.0
CB,23/04/2020,47.0,938.0,78.0,4.0,58.0
CE,23/04/2020,3.0,9.0,4.0,0.0,4.0
CL,23/04/2020,225.0,7053.0,494.0,32.0,169.0
CM,23/04/2020,204.0,8067.0,527.0,68.0,154.0
CN,23/04/2020,20.0,830.0,162.0,2.0,49.0
CT,23/04/2020,944.0,22507.0,2407.0,121.0,558.0
EX,23/04/2020,6.0,1289.0,107.0,7.0,94.0
GA,23/04/2020,149.0,2619.0,102.0,12.0,44.0
IB,23/04/2020,25.0,974.0,162.0,9.0,19.0
MC,23/04/2020,9.0,612.0,103.0,3.0,68.0
MD,23/04/2020,693.0,8011.0,1062.0,121.0,797.0
ML,23/04/2020,1.0,44.0,3.0,0.0,2.0
NC,23/04/2020,41.0,1862.0,128.0,9.0,106.0
PV,23/04/2020,140.0,6100.0,503.0,25.0,338.0
RI,23/04/2020,26.0,1282.0,80.0,7.0,52.0
VC,23/04/2020,138.0,4802.0,641.0,20.0,266.0
AN,24/04/2020,126.0,5452.0,678.0,26.0,174.0
AR,24/04/2020,66.0,2242.0,252.0,15.0,230.0
AS,24/04/2020,20.0,1600.0,125.0,10.0,26.0
CB,24/04/2020,56.0,937.0,78.0,4.0,54.0
CE,24/04/2020,2.0,9.0,4.0,0.0,5.0
CL,24/04/2020,217.0,7043.0,495.0,32.0,165.0
CM,24/04/2020,202.0,8094.0,527.0,65.0,182.0
CN,24/04/2020,20.0,831.0,162.0,3.0,46.0
CT,24/04/2020,982.0,22512.0,2407.0,118.0,524.0
EX,24/04/2020,5.0,1289.0,107.0,8.0,94.0
GA,24/04/2020,135.0,2616.0,103.0,12.0,44.0
IB,24/04/2020,26.0,974.0,162.0,11.0,19.0
MC,24/04/2020,9.0,612.0,103.0,3.0,72.0
MD,24/04/2020,684.0,8033.0,1063.0,121.0,786.0
ML,24/04/2020,1.0,44.0,3.0,0.0,2.0
NC,24/04/2020,40.0,1863.0,128.0,10.0,100.0
PV,24/04/2020,133.0,6097.0,504.0,24.0,342.0
RI,24/04/2020,26.0,1282.0,80.0,7.0,47.0
VC,24/04/2020,126.0,4803.0,641.0,19.0,262.0
AN,25/04/2020,126.0,5438.0,671.0,30.0,173.0
AR,25/04/2020,67.0,2242.0,255.0,14.0,230.0
AS,25/04/2020,24.0,1593.0,124.0,10.0,21.0
CB,25/04/2020,53.0,932.0,78.0,4.0,51.0
CE,25/04/2020,2.0,9.0,4.0,0.0,4.0
CL,25/04/2020,222.0,7041.0,494.0,32.0,167.0
CM,25/04/2020,200.0,8069.0,527.0,63.0,180.0
CN,25/04/2020,24.0,830.0,162.0,2.0,38.0
CT,25/04/2020,949.0,22448.0,2407.0,116.0,485.0
EX,25/04/2020,6.0,1287.0,107.0,8.0,93.0
GA,25/04/2020,139.0,2607.0,103.0,12.0,44.0
IB,25/04/2020,21.0,972.0,161.0,10.0,22.0
MC,25/04/2020,9.0,610.0,103.0,3.0,72.0
MD,25/04/2020,581.0,8061.0,1064.0,121.0,784.0
ML,25/04/2020,1.0,44.0,3.0,0.0,2.0
NC,25/04/2020,40.0,1861.0,127.0,10.0,98.0
PV,25/04/2020,138.0,6082.0,503.0,24.0,256.0
RI,25/04/2020,27.0,1279.0,80.0,6.0,46.0
VC,25/04/2020,125.0,4802.0,641.0,19.0,257.0
AN,26/04/2020,122.0,5430.0,664.0,22.0,142.0
AR,26/04/2020,71.0,2238.0,255.0,13.0,229.0
AS,26/04/2020,21.0,1591.0,124.0,9.0,8.0
CB,26/04/2020,51.0,931.0,77.0,6.0,50.0
CE,26/04/2020,3.0,9.0,4.0,0.0,4.0
CL,26/04/2020,223.0,7034.0,490.0,32.0,153.0
CM,26/04/2020,222.0,7937.0,526.0,69.0,163.0
CN,26/04/2020,32.0,829.0,162.0,2.0,36.0
CT,26/04/2020,803.0,22404.0,2404.0,120.0,458.0
EX,26/04/2020,7.0,1287.0,107.0,9.0,93.0
GA,26/04/2020,143.0,2600.0,103.0,11.0,39.0
IB,26/04/2020,21.0,972.0,161.0,8.0,21.0
MC,26/04/2020,9.0,608.0,102.0,4.0,60.0
MD,26/04/2020,495.0,8090.0,1064.0,122.0,717.0
ML,26/04/2020,2.0,44.0,3.0,0.0,2.0
NC,26/04/2020,40.0,1856.0,126.0,10.0,97.0
PV,26/04/2020,139.0,6081.0,502.0,24.0,237.0
RI,26/04/2020,29.0,1277.0,79.0,5.0,42.0
VC,26/04/2020,118.0,4798.0,641.0,20.0,213.0
AN,27/04/2020,137.0,5480.0,681.0,18.0,143.0
AR,27/04/2020,55.0,2261.0,245.0,12.0,206.0
AS,27/04/2020,15.0,1619.0,125.0,6.0,21.0
CB,27/04/2020,25.0,943.0,77.0,8.0,52.0
CE,27/04/2020,5.0,8.0,4.0,0.0,2.0
CL,27/04/2020,204.0,7138.0,485.0,32.0,112.0
CM,27/04/2020,230.0,7574.0,524.0,56.0,86.0
CN,27/04/2020,45.0,833.0,163.0,2.0,55.0
CT,27/04/2020,1102.0,22695.0,2422.0,154.0,606.0
EX,27/04/2020,7.0,1293.0,104.0,12.0,97.0
GA,27/04/2020,168.0,2629.0,101.0,9.0,44.0
IB,27/04/2020,27.0,981.0,162.0,4.0,10.0
MC,27/04/2020,10.0,600.0,103.0,3.0,51.0
MD,27/04/2020,765.0,7905.0,1066.0,119.0,728.0
ML,27/04/2020,2.0,44.0,3.0,0.0,2.0
NC,27/04/2020,46.0,1865.0,122.0,11.0,101.0
PV,27/04/2020,124.0,6128.0,504.0,25.0,224.0
RI,27/04/2020,24.0,1285.0,79.0,8.0,37.0
VC,27/04/2020,73.0,4839.0,643.0,17.0,147.0
AN,28/04/2020,144.0,5483.0,681.0,30.0,143.0
AR,28/04/2020,74.0,2260.0,247.0,14.0,221.0
AS,28/04/2020,20.0,1622.0,125.0,8.0,25.0
CB,28/04/2020,28.0,943.0,77.0,8.0,57.0
CE,28/04/2020,5.0,8.0,4.0,0.0,4.0
CL,28/04/2020,226.0,7132.0,483.0,32.0,172.0
CM,28/04/2020,226.0,7579.0,524.0,61.0,92.0
CN,28/04/2020,43.0,833.0,163.0,2.0,52.0
CT,28/04/2020,980.0,22719.0,2420.0,156.0,670.0
EX,28/04/2020,8.0,1308.0,106.0,10.0,100.0
GA,28/04/2020,165.0,2626.0,101.0,9.0,45.0
IB,28/04/2020,28.0,984.0,162.0,4.0,18.0
MC,28/04/2020,12.0,600.0,102.0,3.0,54.0
MD,28/04/2020,762.0,7844.0,1065.0,121.0,808.0
ML,28/04/2020,1.0,44.0,3.0,0.0,3.0
NC,28/04/2020,50.0,1869.0,122.0,9.0,104.0
PV,28/04/2020,159.0,6130.0,505.0,25.0,350.0
RI,28/04/2020,24.0,1288.0,79.0,6.0,47.0
VC,28/04/2020,113.0,4838.0,643.0,20.0,245.0
